VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
2,2026-01-01 00:21:45,2026-01-01 00:31:43,1.0,1.68,1.0,N,239,263,1,11.4,1.0,0.5,1.64,0.0,1.0,18.04,2.5,0.0,0.0
2,2026-01-01 00:34:10,2026-01-01 00:40:44,1.0,1.05,1.0,N,262,141,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,0.0
2,2026-01-01 00:42:34,2026-01-01 00:47:15,1.0,0.55,1.0,N,140,237,1,5.8,1.0,0.5,1.08,0.0,1.0,11.88,2.5,0.0,0.0
2,2026-01-01 00:54:16,2026-01-01 00:58:29,1.0,0.52,1.0,N,43,142,1,5.8,1.0,0.5,2.31,0.0,1.0,13.86,2.5,0.0,0.75
2,2026-01-01 00:34:56,2026-01-01 00:57:29,2.0,3.12,1.0,N,161,239,1,22.6,1.0,0.5,4.25,0.0,1.0,32.6,2.5,0.0,0.75
2,2026-01-01 00:58:48,2026-01-01 01:06:51,2.0,1.4,1.0,N,239,151,1,10.0,1.0,0.5,1.5,0.0,1.0,16.5,2.5,0.0,0.0
2,2026-01-01 00:10:51,2026-01-01 00:18:46,4.0,1.05,1.0,N,164,164,1,9.3,1.0,0.5,3.01,0.0,1.0,18.06,2.5,0.0,0.75
2,2026-01-01 00:04:15,2026-01-01 00:42:26,1.0,6.45,1.0,N,148,238,1,38.0,1.0,0.5,10.94,0.0,1.0,54.69,2.5,0.0,0.75
2,2026-01-01 00:16:17,2026-01-01 00:21:28,1.0,0.95,1.0,N,249,114,2,7.2,1.0,0.5,0.0,0.0,1.0,12.95,2.5,0.0,0.75
1,2026-01-01 00:43:52,2026-01-01 00:50:36,1.0,1.1,1.0,N,237,236,1,8.6,3.5,0.5,2.72,0.0,1.0,16.32,2.5,0.0,0.0
1,2026-01-01 00:55:26,2026-01-01 01:11:02,1.0,1.8,1.0,N,237,233,1,14.2,4.25,0.5,4.0,0.0,1.0,23.95,2.5,0.0,0.75
1,2026-01-01 00:17:27,2026-01-01 00:32:38,1.0,1.9,1.0,N,231,79,2,14.9,4.25,0.5,0.0,0.0,1.0,20.65,2.5,0.0,0.75
1,2026-01-01 00:38:30,2026-01-01 00:57:14,1.0,2.8,1.0,N,114,229,1,18.4,4.25,0.5,4.8,0.0,1.0,28.95,2.5,0.0,0.75
